dimension,dimension_kind,group_id,group_label,outcome,estimator,coefficient,standard_error,nominal_p_value,n_obs,minimum_clusters,group_pretrend_status,group_pretrend_joint_p_value,ddd_pretrend_status,group_mde_80_power,result_status,error,source_diagnostic_family,ci_low,ci_high,cluster_df,support_status,target_treated_cbo_with_flows,target_control_cbo_with_flows,bh_adjusted_p_value,nominal_significant_005,bh_significant_005,family_id,family_size,multiplicity_method,multiplicity_scope,interpretation,is_causal_effect
race_color,micro,race_white,White,desligamentos,ppml,-0.0181920675700475,0.0250367070456215,0.4679612778524364,15935,341,fail,3.4822721354057207e-15,fail,0.070344269395898,estimated,,A,-0.06743841242321606,0.03105427728312106,340.0,adequate,75,266,0.5793806297220641,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_white,White,n_movimentacoes,ppml,-0.0212253959462562,0.028264566160343,0.4531996145500829,15935,341,fail,2.2165889024494623e-30,fail,0.079413408988586,estimated,,A,-0.07682082907254963,0.03437003718003723,340.0,adequate,75,266,0.5687527039860766,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_white,White,ln_salario_real_adm,ols,-0.0543811196431264,0.0113977614861226,2.722882582739672e-06,15802,341,fail,7.004620647153819e-05,fail,0.0320236684093094,estimated,,A,-0.0768001259316518,-0.031962113354601,340.0,adequate,75,266,5.899578929269289e-05,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_white,White,asinh_saldo,ols,-0.2245709123841905,0.3002451161294496,0.4550021631888612,15935,341,fail,2.7701358772569428e-05,fail,0.8435823167690217,estimated,,A,-0.8151427676384674,0.36600094287008644,340.0,adequate,75,266,0.5687527039860766,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_black,Black,admissoes,ppml,-0.0382815917793099,0.0540056420688657,0.4789082711383443,15926,340,fail,1.9556259417864067e-33,fail,0.1517379933243868,estimated,,A,-0.1445099585377647,0.06794677497914489,339.0,adequate,75,265,0.5818511705419136,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_black,Black,desligamentos,ppml,0.0092219725721512,0.0434945858833162,0.8322143589120172,15926,340,fail,1.0387171387407804e-34,fail,0.1222054016873615,estimated,,A,-0.07633128898019437,0.09477523412449676,339.0,adequate,75,265,0.8586338623695416,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_black,Black,n_movimentacoes,ppml,-0.0159874684398833,0.0479025716105747,0.7387747997310687,15926,340,fail,2.486963110539282e-37,fail,0.1345903837602316,estimated,,A,-0.11021117823732432,0.07823624135755772,339.0,adequate,75,265,0.7847771693606804,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_black,Black,ln_salario_real_adm,ols,-0.0492063416771099,0.0121920805030223,6.731140638294164e-05,14922,339,fail,0.1322980409856804,fail,0.0342560065582019,estimated,,A,-0.07318825315879843,-0.025224430195421362,338.0,adequate,75,265,0.0005469051768614008,True,True,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_black,Black,asinh_saldo,ols,-0.2001168033374282,0.1561183333565615,0.2007764944029042,15935,341,fail,3.34652679728945e-05,fail,0.4386371609996985,estimated,,A,-0.5071962155129084,0.10696260883805203,340.0,adequate,75,265,0.2966016394588358,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
race_color,micro,race_pardo,Pardo,admissoes,ppml,-0.0662787379565409,0.0438964918089236,0.1320010301239065,15935,341,fail,2.693929598360544e-38,fail,0.123333577363632,estimated,,A,-0.15262163319142336,0.02006415727834153,340.0,adequate,75,266,0.24414709157971531,False,False,C,130,Benjamini-Hochberg,single adjustment over all 130 per-group DiD tests,reportable,False
