outcome,level_1_coefficient,level_1_standard_error,level_1_p_value,level_2_coefficient,level_2_standard_error,level_2_p_value,coefficient_delta_level_2_minus_level_1
admissoes,-0.0537723981585714,0.0385602106882426,0.1640757055204185,-0.0750759843556975,0.035644091101650476,0.03591369010309342,-0.0213035861971261
desligamentos,-0.042014072599854,0.0347015248522746,0.2268409951592573,-0.06644614134861952,0.03482772252050209,0.05725252876485065,-0.024432068748765523
n_movimentacoes,-0.0480931611194387,0.0353367232298032,0.1744161382010118,-0.07066500181561794,0.03430272995107525,0.04015536187584212,-0.022571840696179242
ln_salario_real_adm,-0.0507404538197659,0.0103323620988367,1.411223007563578e-06,-0.03559820334302987,0.006438191980342569,6.419984566186088e-08,0.015142250476736029
asinh_saldo,-0.5512668862460224,0.3783166056230572,0.1459958387457991,-0.13949363310444285,0.07342699346913788,0.05831061934739257,0.41177325314157953
